Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather,City
1/3/2012 14:00,-14.9,-22.9,50,22,24.1,101.38,Mainly Clear,Jaipur
1/3/2012 15:00,-14.8,-22.2,53,19,24.1,101.44,Mainly Clear,Chennai
1/3/2012 16:00,-15.3,-22.9,52,22,24.1,101.51,Mainly Clear,Chennai
1/3/2012 17:00,-15.8,-23.2,53,22,24.1,101.58,Mainly Clear,Jaipur
1/3/2012 18:00,-16.3,-23.8,52,24,25.0,101.64,Mainly Clear,Delhi
1/3/2012 19:00,-16.9,-24.8,50,24,25.0,101.74,Clear,Hyderabad
1/3/2012 20:00,-17.3,-25.4,49,24,25.0,101.82,Mainly Clear,Jaipur
1/3/2012 21:00,-17.0,-24.6,52,15,25.0,101.86,Mostly Cloudy,Ahmedabad
1/3/2012 22:00,-17.1,-24.6,52,20,25.0,101.86,Mostly Cloudy,Ahmedabad
1/3/2012 23:00,-17.3,-24.2,55,17,25.0,101.87,Mostly Cloudy,Ahmedabad
1/4/2012 0:00,-17.5,-24.2,56,13,25.0,101.88,Mostly Cloudy,Pune
1/4/2012 1:00,-17.9,-24.1,58,11,25.0,101.86,Mainly Clear,Hyderabad
1/4/2012 2:00,-18.1,-23.8,61,15,25.0,101.89,Mainly Clear,Lucknow
1/4/2012 3:00,-18.5,-24.6,59,13,25.0,101.88,Mainly Clear,Jaipur
1/4/2012 4:00,-18.5,-24.6,59,13,25.0,101.82,Mainly Clear,Hyderabad
1/4/2012 5:00,-18.6,-24.0,62,9,25.0,101.77,Mainly Clear,Kolkata
1/4/2012 6:00,-18.5,-24.1,61,11,25.0,101.74,Cloudy,Lucknow
1/4/2012 7:00,-18.2,-24.1,60,11,25.0,101.75,Cloudy,Jaipur
1/4/2012 8:00,-17.8,-24.2,57,17,24.1,101.73,Mostly Cloudy,Kolkata
1/4/2012 9:00,-16.8,-22.5,61,9,24.1,101.68,Mostly Cloudy,Chennai
1/4/2012 10:00,-15.2,-20.6,63,7,24.1,101.54,Mostly Cloudy,Pune
1/4/2012 11:00,-14.2,-21.1,56,13,24.1,101.41,Mostly Cloudy,Delhi
1/4/2012 12:00,-13.7,-21.7,51,11,24.1,101.25,Snow,Mumbai
1/4/2012 13:00,-12.4,-20.1,53,11,24.1,101.07,Cloudy,Chennai
1/4/2012 14:00,-11.3,-19.0,53,7,19.3,100.97,Snow,Pune
1/4/2012 15:00,-10.2,-16.3,61,11,9.7,100.89,Snow,Ahmedabad
1/4/2012 16:00,-9.4,-15.5,61,13,19.3,100.79,Snow,Chennai
1/4/2012 17:00,-8.9,-13.2,71,9,4.8,100.76,Snow,Pune
1/4/2012 18:00,-8.9,-12.6,75,11,9.7,100.69,Snow,Jaipur
1/4/2012 19:00,-8.4,-12.7,71,9,16.1,100.65,Snow,Lucknow
1/4/2012 20:00,-7.8,-12.1,71,9,16.1,100.61,Snow,Pune
1/4/2012 21:00,-7.6,-11.6,73,7,11.3,100.54,Snow,Bangalore
1/4/2012 22:00,-9.5,-12.7,77,6,9.7,100.5,Snow,Ahmedabad
1/4/2012 23:00,-9.6,-12.6,79,6,9.7,100.42,Snow,Chennai
1/5/2012 0:00,-8.8,-11.7,79,4,9.7,100.32,Snow,Hyderabad
1/5/2012 1:00,-7.5,-10.2,81,0,9.7,100.29,Snow,Bangalore
1/5/2012 2:00,-5.4,-8.3,80,9,8.0,100.28,Snow,Ahmedabad
1/5/2012 3:00,-5.0,-7.7,81,11,9.7,100.24,Snow,Pune
1/5/2012 4:00,-4.1,-6.5,83,9,4.8,100.21,Snow,Mumbai
1/5/2012 5:00,-7.0,-9.5,82,4,4.0,100.19,Snow,Kolkata
1/5/2012 6:00,-8.2,-10.7,82,6,6.4,100.26,Snow,Mumbai
1/5/2012 7:00,-7.1,-9.7,82,9,9.7,100.31,Snow,Mumbai
1/5/2012 8:00,-6.1,-9.1,79,11,9.7,100.39,Snow,Jaipur
1/5/2012 9:00,-6.6,-10.1,76,9,24.1,100.42,Mainly Clear,Hyderabad
1/5/2012 10:00,-6.0,-10.0,73,17,48.3,100.45,Mainly Clear,Pune
1/5/2012 11:00,-5.6,-10.2,70,22,48.3,100.41,Mainly Clear,Mumbai
1/5/2012 12:00,-4.7,-9.6,69,20,48.3,100.38,Mainly Clear,Delhi
1/5/2012 13:00,-4.4,-9.7,66,26,48.3,100.4,Mainly Clear,Ahmedabad
1/5/2012 14:00,-5.1,-10.7,65,22,48.3,100.46,Mainly Clear,Chennai
1/5/2012 15:00,-4.3,-12.0,55,26,48.3,100.52,Mainly Clear,Mumbai
1/5/2012 16:00,-5.0,-12.7,55,19,24.1,100.6,Mainly Clear,Mumbai
1/5/2012 17:00,-6.7,-14.1,56,11,25.0,100.65,Mainly Clear,Delhi
1/5/2012 18:00,-7.1,-14.4,56,11,25.0,100.71,Clear,Jaipur
1/5/2012 19:00,-9.2,-15.4,61,7,25.0,100.8,Clear,Chennai
1/5/2012 20:00,-9.8,-15.7,62,9,25.0,100.83,Clear,Pune
1/5/2012 21:00,-9.0,-14.8,63,13,25.0,100.83,Clear,Mumbai
1/5/2012 22:00,-9.9,-15.7,63,7,25.0,100.85,Cloudy,Mumbai
1/5/2012 23:00,-9.4,-15.5,61,9,25.0,100.83,Cloudy,Pune
1/6/2012 0:00,-9.6,-16.8,56,13,25.0,100.81,Cloudy,Bangalore
1/6/2012 1:00,-10.0,-17.3,55,17,25.0,100.81,Cloudy,Ahmedabad
1/6/2012 2:00,-10.5,-16.5,61,9,25.0,100.84,Cloudy,Kolkata
1/6/2012 3:00,-10.6,-16.0,64,0,9.7,100.76,Snow,Pune
1/6/2012 4:00,-11.3,-16.1,68,15,3.2,100.7,Snow,Jaipur
1/6/2012 5:00,-11.8,-16.0,71,19,2.8,100.61,Snow,Hyderabad
1/6/2012 6:00,-12.0,-16.2,71,22,4.8,100.58,Snow,Delhi
1/6/2012 7:00,-14.4,-16.3,85,22,2.4,100.52,Snow,Kolkata
1/6/2012 8:00,-12.3,-16.2,73,24,11.3,100.51,Snow,Delhi
1/6/2012 9:00,-12.5,-16.7,71,26,19.3,100.53,Snow,Lucknow
1/6/2012 10:00,-12.3,-16.3,72,28,16.1,100.47,Snow,Ahmedabad
1/6/2012 11:00,-12.0,-16.0,72,17,24.1,100.36,Snow,Lucknow
1/6/2012 12:00,-11.7,-15.4,74,28,19.3,100.23,Snow,Bangalore
1/6/2012 13:00,-11.9,-15.6,74,20,24.1,100.13,Snow,Chennai
1/6/2012 14:00,-11.2,-14.8,75,19,19.3,100.07,Snow,Kolkata
1/6/2012 15:00,-11.5,-14.4,79,19,12.9,100.06,Snow,Lucknow
1/6/2012 16:00,-11.6,-14.7,78,19,19.3,100.1,Snow,Lucknow
1/6/2012 17:00,-11.2,-14.3,78,17,25.0,100.15,Snow,Lucknow
1/6/2012 18:00,-10.5,-13.6,78,17,19.3,100.12,Cloudy,Pune
1/6/2012 19:00,-10.5,-13.4,79,15,25.0,100.13,Cloudy,Chennai
1/6/2012 20:00,-10.2,-13.0,80,11,25.0,100.15,Cloudy,Delhi
1/6/2012 21:00,-9.5,-12.5,79,9,25.0,100.13,Cloudy,Ahmedabad
1/6/2012 22:00,-9.3,-12.2,79,11,19.3,100.16,Cloudy,Delhi
1/6/2012 23:00,-9.0,-12.0,79,7,16.1,100.15,Cloudy,Hyderabad
1/7/2012 0:00,-8.7,-11.7,79,6,16.1,100.13,Cloudy,Delhi
1/7/2012 1:00,-8.5,-11.4,80,0,19.3,100.11,Cloudy,Mumbai
1/7/2012 2:00,-8.1,-11.1,79,4,19.3,100.15,Cloudy,Kolkata
1/7/2012 3:00,-7.8,-10.8,79,4,19.3,100.12,Cloudy,Mumbai
1/7/2012 4:00,-7.5,-10.5,79,6,19.3,100.1,Cloudy,Pune
1/7/2012 5:00,-6.9,-9.7,80,4,19.3,100.12,Cloudy,Bangalore
1/7/2012 6:00,-6.7,-9.5,80,7,16.1,100.12,Cloudy,Jaipur
1/7/2012 7:00,-7.0,-9.7,81,7,16.1,100.16,Cloudy,Kolkata
1/7/2012 8:00,-6.4,-9.0,82,9,8.0,100.1,"Freezing Drizzle,Fog",Chennai
1/7/2012 9:00,-6.1,-8.7,82,7,9.7,100.15,"Freezing Rain,Fog",Delhi
1/7/2012 10:00,-5.7,-8.0,84,7,8.0,100.13,Freezing Rain,Ahmedabad
1/7/2012 11:00,-5.4,-7.7,84,9,9.7,100.08,Freezing Drizzle,Kolkata
1/7/2012 12:00,-5.5,-7.8,84,13,9.7,100.05,Freezing Drizzle,Jaipur
1/7/2012 13:00,-4.8,-7.2,83,15,9.7,100.07,Freezing Rain,Ahmedabad
1/7/2012 14:00,-4.4,-6.9,83,6,8.0,100.09,Snow,Ahmedabad
1/7/2012 15:00,-3.7,-6.1,83,11,8.0,100.09,Snow,Lucknow
1/7/2012 16:00,-3.6,-5.9,84,0,8.0,100.15,Snow,Chennai
1/7/2012 17:00,-3.1,-5.4,84,13,8.0,100.27,Snow,Jaipur
1/7/2012 18:00,-3.2,-5.3,85,6,9.7,100.33,Snow,Mumbai
1/7/2012 19:00,-3.0,-5.0,86,6,8.0,100.41,Snow,Pune
1/7/2012 20:00,-1.8,-3.7,87,4,9.7,100.48,Snow,Chennai
1/7/2012 21:00,-1.3,-3.1,88,0,6.4,100.5,Snow,Mumbai
1/7/2012 22:00,-1.5,-3.0,89,4,4.0,100.54,Fog,Mumbai
1/7/2012 23:00,0.4,-1.5,87,22,9.7,100.62,Snow,Pune
1/8/2012 0:00,0.6,-3.2,76,32,25.0,100.72,Cloudy,Mumbai
1/8/2012 1:00,-0.6,-4.6,74,32,25.0,100.8,Mostly Cloudy,Jaipur
1/8/2012 2:00,-1.7,-6.2,71,30,25.0,100.98,Mostly Cloudy,Ahmedabad
1/8/2012 3:00,-3.5,-8.3,69,32,25.0,101.13,Mainly Clear,Mumbai
1/8/2012 4:00,-4.4,-9.2,69,22,25.0,101.21,Mainly Clear,Lucknow
1/8/2012 5:00,-5.9,-10.5,70,13,25.0,101.33,Mainly Clear,Hyderabad
1/8/2012 6:00,-5.8,-10.8,68,13,25.0,101.47,Cloudy,Ahmedabad
1/8/2012 7:00,-5.6,-10.3,69,11,25.0,101.59,Cloudy,Jaipur
1/8/2012 8:00,-5.9,-10.7,69,11,24.1,101.7,Snow,Lucknow
1/8/2012 9:00,-6.4,-11.9,65,17,24.1,101.81,Snow,Jaipur
1/8/2012 10:00,-6.5,-11.6,67,17,9.7,101.89,Snow,Lucknow
1/8/2012 11:00,-7.1,-12.6,65,22,24.1,101.92,Snow,Lucknow
1/8/2012 12:00,-6.7,-11.9,66,15,24.1,101.9,Snow,Jaipur
1/8/2012 13:00,-6.5,-12.4,63,15,24.1,101.94,Cloudy,Bangalore
1/8/2012 14:00,-6.5,-12.0,65,19,24.1,101.97,Mostly Cloudy,Mumbai
1/8/2012 15:00,-6.6,-12.9,61,20,48.3,102.04,Mostly Cloudy,Hyderabad
1/8/2012 16:00,-6.6,-13.3,59,20,24.1,102.09,Mostly Cloudy,Kolkata
1/8/2012 17:00,-7.2,-13.8,59,17,25.0,102.17,Mainly Clear,Ahmedabad
1/8/2012 18:00,-8.1,-14.1,62,17,25.0,102.23,Mainly Clear,Bangalore
1/8/2012 19:00,-8.0,-13.9,62,15,25.0,102.26,Mostly Cloudy,Ahmedabad
1/8/2012 20:00,-8.3,-13.7,65,15,25.0,102.28,Mostly Cloudy,Lucknow
1/8/2012 21:00,-8.3,-13.9,64,11,25.0,102.26,Mostly Cloudy,Kolkata
1/8/2012 22:00,-8.7,-14.0,65,7,25.0,102.22,Mostly Cloudy,Delhi
1/8/2012 23:00,-9.0,-13.9,68,7,25.0,102.22,Mostly Cloudy,Kolkata
1/9/2012 0:00,-9.2,-14.3,66,6,25.0,102.17,Mostly Cloudy,Hyderabad
1/9/2012 1:00,-9.8,-14.5,68,0,25.0,102.13,Mostly Cloudy,Ahmedabad
1/9/2012 2:00,-9.0,-14.1,66,4,25.0,102.15,Mostly Cloudy,Delhi
1/9/2012 3:00,-8.8,-13.2,70,0,25.0,102.11,Cloudy,Mumbai
1/9/2012 4:00,-8.5,-13.2,69,9,25.0,102.02,Cloudy,Bangalore
1/9/2012 5:00,-8.4,-12.7,71,11,25.0,101.93,Cloudy,Delhi
1/9/2012 6:00,-7.7,-11.9,72,11,25.0,101.86,Cloudy,Pune
1/9/2012 7:00,-6.8,-11.0,72,15,25.0,101.8,Mostly Cloudy,Bangalore
1/9/2012 8:00,-5.9,-10.5,70,13,16.1,101.74,Snow,Kolkata
1/9/2012 9:00,-5.4,-9.2,75,11,12.9,101.68,Snow,Kolkata
1/9/2012 10:00,-4.8,-8.3,76,9,16.1,101.64,Snow,Hyderabad
1/9/2012 11:00,-3.7,-7.2,77,7,24.1,101.54,Snow,Chennai
1/9/2012 12:00,-2.5,-6.6,73,9,24.1,101.4,Cloudy,Mumbai
1/9/2012 13:00,-1.7,-5.8,74,7,24.1,101.27,Cloudy,Hyderabad
1/9/2012 14:00,-1.4,-5.1,76,7,24.1,101.2,Cloudy,Lucknow
1/9/2012 15:00,-1.0,-5.1,74,9,24.1,101.13,Mostly Cloudy,Mumbai
1/9/2012 16:00,-1.3,-5.7,72,11,24.1,101.05,Mostly Cloudy,Jaipur
1/9/2012 17:00,-1.4,-5.8,72,15,24.1,100.96,Mostly Cloudy,Bangalore
1/9/2012 18:00,-1.0,-5.6,71,20,25.0,100.9,Mostly Cloudy,Jaipur
1/9/2012 19:00,-1.1,-5.8,70,19,25.0,100.83,Mostly Cloudy,Jaipur
1/9/2012 20:00,-1.5,-6.2,70,15,25.0,100.77,Mostly Cloudy,Bangalore
1/9/2012 21:00,-1.7,-6.3,71,11,25.0,100.64,Mostly Cloudy,Hyderabad
1/9/2012 22:00,-0.3,-6.3,64,19,25.0,100.54,Mostly Cloudy,Pune
1/9/2012 23:00,-0.2,-6.1,64,17,25.0,100.45,Cloudy,Delhi
1/10/2012 0:00,2.5,-5.2,57,30,25.0,100.38,Cloudy,Kolkata
1/10/2012 1:00,2.3,-3.4,66,35,25.0,100.28,Snow,Hyderabad
1/10/2012 2:00,1.4,-2.5,75,19,6.4,100.23,Snow,Delhi
1/10/2012 3:00,1.6,-2.0,77,28,25.0,100.16,Snow,Ahmedabad
1/10/2012 4:00,1.2,-1.7,81,26,25.0,100.07,Cloudy,Chennai
1/10/2012 5:00,0.8,-1.2,86,30,9.7,100.02,"Rain,Snow",Kolkata
1/10/2012 6:00,0.7,-1.2,87,30,8.0,100.04,Snow,Lucknow
1/10/2012 7:00,1.5,-0.7,85,20,8.0,100.08,Snow,Pune
1/10/2012 8:00,1.2,-1.1,85,24,16.1,100.11,Cloudy,Chennai
1/10/2012 9:00,1.6,-0.8,84,17,19.3,100.23,Cloudy,Kolkata
1/10/2012 10:00,2.0,-0.9,81,24,24.1,100.27,Mostly Cloudy,Chennai
1/10/2012 11:00,2.6,-1.1,77,22,24.1,100.29,Mainly Clear,Jaipur
1/10/2012 12:00,1.4,-3.1,72,30,24.1,100.32,Mostly Cloudy,Bangalore
1/10/2012 13:00,0.7,-5.4,64,26,24.1,100.36,Mostly Cloudy,Lucknow
1/10/2012 14:00,-0.2,-6.2,64,26,24.1,100.45,Mainly Clear,Pune
1/10/2012 15:00,-1.4,-7.9,61,30,24.1,100.65,Mainly Clear,Ahmedabad
1/10/2012 16:00,-3.1,-10.9,55,30,24.1,100.81,Mostly Cloudy,Kolkata
1/10/2012 17:00,-4.0,-12.0,54,17,24.1,100.91,Mostly Cloudy,Delhi
1/10/2012 18:00,-4.9,-12.7,54,15,25.0,101.04,Mostly Cloudy,Pune
1/10/2012 19:00,-5.7,-13.8,53,15,25.0,101.15,Mostly Cloudy,Lucknow
1/10/2012 20:00,-6.4,-14.3,53,13,25.0,101.24,Mostly Cloudy,Bangalore
1/10/2012 21:00,-6.6,-13.6,57,9,25.0,101.32,Mostly Cloudy,Delhi
1/10/2012 22:00,-7.3,-14.7,55,13,25.0,101.34,Mostly Cloudy,Bangalore
1/10/2012 23:00,-8.6,-15.6,57,19,25.0,101.44,Mostly Cloudy,Delhi
1/11/2012 0:00,-9.5,-16.8,55,17,25.0,101.43,Mostly Cloudy,Bangalore
1/11/2012 1:00,-10.7,-17.8,56,17,25.0,101.49,Clear,Kolkata
1/11/2012 2:00,-12.0,-18.9,56,19,25.0,101.57,Clear,Pune
1/11/2012 3:00,-12.7,-19.4,57,19,25.0,101.64,Clear,Ahmedabad
1/11/2012 4:00,-13.4,-20.1,57,17,25.0,101.66,Clear,Hyderabad
1/11/2012 5:00,-13.9,-21.0,55,19,25.0,101.66,Mainly Clear,Kolkata
1/11/2012 6:00,-14.4,-21.1,57,20,25.0,101.72,Mainly Clear,Mumbai
1/11/2012 7:00,-14.4,-21.0,57,13,25.0,101.77,Mostly Cloudy,Kolkata
1/11/2012 8:00,-14.7,-21.4,57,15,24.1,101.8,Mostly Cloudy,Lucknow
1/11/2012 9:00,-14.3,-20.8,58,15,24.1,101.81,Mostly Cloudy,Bangalore
1/11/2012 10:00,-13.9,-20.9,55,11,19.3,101.89,Cloudy,Kolkata
1/11/2012 11:00,-13.4,-20.8,54,15,24.1,101.78,Mostly Cloudy,Lucknow
1/11/2012 12:00,-12.7,-20.4,53,17,24.1,101.68,Cloudy,Chennai
1/11/2012 13:00,-12.2,-20.0,52,19,24.1,101.63,Mostly Cloudy,Pune
1/11/2012 14:00,-11.4,-19.4,52,20,24.1,101.56,Mostly Cloudy,Mumbai
1/11/2012 15:00,-11.6,-19.9,50,20,24.1,101.61,Mostly Cloudy,Jaipur
1/11/2012 16:00,-11.8,-20.9,47,20,24.1,101.6,Mostly Cloudy,Ahmedabad
1/11/2012 17:00,-11.9,-20.1,51,26,24.1,101.56,Mostly Cloudy,Jaipur
1/11/2012 18:00,-12.0,-19.9,52,24,25.0,101.51,Mostly Cloudy,Bangalore
1/11/2012 19:00,-11.8,-19.2,54,30,25.0,101.43,Mostly Cloudy,Kolkata
1/11/2012 20:00,-11.2,-18.1,57,24,25.0,101.4,Cloudy,Mumbai
1/11/2012 21:00,-11.2,-16.5,65,19,25.0,101.32,Cloudy,Ahmedabad
1/11/2012 22:00,-10.8,-16.0,65,22,25.0,101.29,Cloudy,Mumbai
1/11/2012 23:00,-10.7,-15.7,67,20,25.0,101.19,Mostly Cloudy,Chennai
1/12/2012 0:00,-10.0,-15.2,66,19,25.0,101.17,Mostly Cloudy,Kolkata
1/12/2012 1:00,-9.8,-15.2,65,24,25.0,101.13,Mostly Cloudy,Mumbai
1/12/2012 2:00,-9.4,-15.0,64,26,25.0,101.08,Cloudy,Bangalore
1/12/2012 3:00,-9.0,-14.7,63,33,25.0,101.02,Cloudy,Bangalore
1/12/2012 4:00,-8.5,-14.1,64,22,25.0,100.93,Cloudy,Kolkata
1/12/2012 5:00,-8.0,-13.7,64,30,25.0,100.81,Cloudy,Chennai
1/12/2012 6:00,-7.6,-13.1,65,28,25.0,100.76,Cloudy,Jaipur
1/12/2012 7:00,-7.3,-12.7,65,28,16.1,100.69,Snow Showers,Pune
1/12/2012 8:00,-7.1,-11.3,72,33,6.4,100.61,Snow,Lucknow
1/12/2012 9:00,-6.8,-10.5,75,33,3.2,100.54,Snow,Delhi
1/12/2012 10:00,-6.2,-9.6,77,35,4.8,100.46,Snow,Chennai
1/12/2012 11:00,-6.0,-9.5,76,32,2.0,100.35,Snow,Bangalore
1/12/2012 12:00,-5.8,-8.9,79,32,4.8,100.22,Snow,Lucknow
1/12/2012 13:00,-5.8,-8.6,81,33,1.2,100.09,Snow,Kolkata
1/12/2012 14:00,-5.7,-8.5,81,28,1.2,99.97,Snow,Pune
1/12/2012 15:00,-5.2,-7.6,83,26,0.8,99.9,Moderate Snow,Lucknow
1/12/2012 16:00,-4.9,-7.3,83,33,0.6,99.88,Moderate Snow,Lucknow
1/12/2012 17:00,-5.1,-7.6,83,33,1.0,99.83,Snow,Jaipur
1/12/2012 18:00,-5.4,-8.1,81,35,1.2,99.76,Snow,Kolkata
1/12/2012 19:00,-5.0,-7.6,82,30,4.0,99.72,Snow,Hyderabad
1/12/2012 20:00,-5.0,-7.8,81,28,6.4,99.64,Snow,Hyderabad
1/12/2012 21:00,-4.7,-7.6,80,24,6.4,99.56,Snow,Chennai
1/12/2012 22:00,-4.1,-6.8,81,26,25.0,99.47,Snow,Hyderabad
1/12/2012 23:00,-4.6,-7.0,83,28,3.2,99.4,Snow,Jaipur
1/13/2012 0:00,-5.1,-7.5,83,28,2.4,99.3,Snow,Hyderabad
1/13/2012 1:00,-5.0,-7.7,81,24,4.8,99.24,Snow,Bangalore
1/13/2012 2:00,-4.8,-7.5,81,22,25.0,99.22,Snow,Mumbai
1/13/2012 3:00,-4.5,-6.9,83,19,4.8,99.19,"Freezing Drizzle,Snow",Mumbai
1/13/2012 4:00,-5.0,-7.4,83,24,11.3,99.13,Cloudy,Ahmedabad
1/13/2012 5:00,-5.1,-7.7,82,20,12.9,99.06,Cloudy,Pune
1/13/2012 6:00,-5.4,-7.8,83,22,16.1,98.94,Cloudy,Ahmedabad
1/13/2012 7:00,-5.1,-7.7,82,22,16.1,98.84,Cloudy,Pune
1/13/2012 8:00,-5.1,-7.5,83,26,8.0,98.69,Freezing Rain,Hyderabad
1/13/2012 9:00,-5.0,-7.3,84,32,4.8,98.56,"Freezing Rain,Snow Grains",Bangalore
1/13/2012 10:00,-4.8,-7.2,83,26,12.9,98.44,Freezing Drizzle,Delhi
1/13/2012 11:00,-4.8,-7.3,83,28,9.7,98.22,Freezing Rain,Pune
1/13/2012 12:00,-4.8,-7.5,81,24,2.0,98.07,Snow,Ahmedabad
1/13/2012 13:00,-4.9,-7.3,83,20,1.2,97.99,Snow,Chennai
1/13/2012 14:00,-4.8,-7.0,85,6,2.0,98.07,Snow,Hyderabad
1/13/2012 15:00,-4.3,-6.5,85,13,8.0,98.1,Snow,Lucknow
